Price,Size,Tax,Bedroom
353149,1435,4660,4
499958,1093,2141,5
474144,1231,4171,1
185617,2182,2251,3
451755,2700,2089,4
203764,2646,2338,4
573982,3209,1103,3
110603,1028,1893,4
574576,3947,3984,1
202122,3318,3165,3
489032,1472,4282,4
424695,2518,4011,5
646532,2359,2300,5
596042,3641,4393,1
140185,3421,3109,2
271006,1098,1141,2
430958,1157,3975,1
668263,3946,4980,2
619100,1435,4840,3
326324,2393,2144,5
515868,3289,3923,2
529966,3418,3707,2
511394,2939,3651,4
191365,1901,2084,5
545386,3569,3701,4
530014,2821,2956,3
154416,2927,3525,5
310717,2920,2574,5
599476,3983,3866,3
241570,1597,1163,2
303558,2003,3382,5
418421,3857,1541,3
246528,3377,3489,2
637192,2195,2444,2
323454,3235,3428,3
206681,3935,2823,2
199093,3703,2124,3
253122,2391,1707,4
680282,2479,892,5
648290,2821,1006,5
640711,3529,2381,2
298329,1398,4908,3
456296,3901,2416,4
503674,2813,3251,3
557359,3349,1190,5
238139,2627,1828,3
399455,2599,1329,2
266781,1712,4286,2
450113,1782,4140,4
590736,1368,4088,1
569889,3551,1258,5
192239,1992,1425,2
359014,1756,1330,5
551682,3478,1836,4
226559,2231,1298,5
209746,2318,4173,5
136937,1914,1840,3
660403,2547,4474,5
564857,3860,3827,2
420147,3218,2158,4
198410,2809,3413,1
366056,1395,2999,5
150754,2282,1165,5
663345,2889,1386,5
469806,2856,1514,2
384995,1878,2180,4
569727,1775,1098,3
187885,3860,815,3
231760,2612,982,4
590889,2899,2972,1
615875,1612,4782,4
225536,3118,2005,4
394505,3661,1317,4
545697,2427,3706,3
382784,1224,3995,2
521545,3159,1636,3
552671,3422,4940,3
644462,1513,3323,3
145489,3556,4843,2
369490,2009,2471,5
191379,2388,2127,4
618541,3453,1798,5
654782,3301,2705,3
500550,3139,3085,5
413492,3496,3403,3
216915,2408,4919,1
172041,2315,1168,3
640353,3986,2068,5
345897,3226,4441,1
260213,1695,3740,1
368572,1371,4127,2
440845,2751,4364,1
166980,1893,3910,5
464620,1000,2788,5
459904,2926,2971,4
237836,2016,2216,2
572355,3502,972,5
479828,2464,3001,2
262893,2428,1317,2
364959,2901,4638,1
